Tissue ID,DNA_ID,Temporary Name,Accession Number,Parent or offspring? (P/O),Species,Extracted?,Diluted and PCRs run?,MP1 Amplified?,MP2 Amplified?,MP3 Amplified?,Notes,Date of Collection,Longitude,Latitude,DBH(cm),DBH 2(cm),DBH 3(cm),DBH 4 (cm),Notes
UHA-0456,,QUMU-MT17-0012,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0457,,QUMU-MT17-0013,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0458,,QUMU-MT17-0022,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0459,,QUMU-MT17-0024,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0460,,QUMU-MT17-0025,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0001,SH-Q2612,QUAL-MT1,755-79*1,P,Q. alba,X,X,X,X,X,,,-88.066639,41.8139531,45.5,,,,"Old lat/long: (41.814518,-88.066243)"
UHA-0002,SH-Q2613,QUAL-MT2,755-79*5,P,Q. alba,X,X,X,X,X,,,-88.066559,41.813961,34.8,,,,"Old lat/long: (41.815203,-88.071058)"
UHA-0003,SH-Q2614,QUAL-MT3,134-U*72,P,Q. alba,X,X,X,X,X,,,-88.068732,41.815779,71.2,,,,
UHA-0004,SH-Q2615,QUBI-MT1,463-84*5,P,Q. bicolor,X,X,X,X,X,,,-88.066721,41.814783,61.9,,,,
UHA-0005,SH-Q2616,QUBI-MT4,789-2004*3,P,Q. bicolor,X,X,X,X,X,,,-88.0708121,41.815453,43.9,,,,"Old lat/long: (41.817355,-88.064352)"
UHA-0006,SH-Q2617,QUBI-MT6,789-2004*2,P,Q. bicolor,X,X,X,X,X,,,-88.071058,41.815203,37.1,,,,"Old lat/long: (41.815453, -88.070812)"
UHA-0007,SH-Q2618,QUMA-MT1,478-2001*2,P,Q. macrocarpa,X,X,X,X,X,,,-88.065814,41.815105,31.8,,,,
UHA-0008,SH-Q2619,QUMA-MT2,527-2000*2,P,Q. macrocarpa,X,X,X,X,X,,,-88.06698,41.81485,35.4,,,,
UHA-0009,SH-Q2775,QUMU-MT1,704-46*5,P,Q. muehlenbergii,X,X,X,X,X,,,-88.069397,41.814984,95,26.6,,,
UHA-0010,SH-Q2776,QUMU-MT2,704-46*8,P,Q. muehlenbergii,X,X,X,X,X,,,-88.067413,41.816572,76.7,19.5,19.6,,The DBH is the average of the diameter above and below these two branches because they were two big branches right at breast height
UHA-0011,SH-Q2777,QUMU-MT3,704-46*7,P,Q. muehlenbergii,X,X,X,X,X,,,-88.068655,41.815796,82.8,,,,
UHA-0012,SH-Q2778,QUMU-MT4,704-46*1,P,Q. muehlenbergii,X,X,X,X,X,,,-88.066633,41.81118,,,,,
UHA-0013,SH-Q2779,QUMU-MT6,704-46*6,P,Q. muehlenbergii,X,X,X,X,X,,,-88.06758,41.815615,64.6,,,,
UHA-0014,SH-Q2780,QUMU-MT8,704-46*13,P,Q. muehlenbergii,X,X,X,X,X,,,-88.063177,41.811685,67.4,,,,
UHA-0015,SH-Q2781,QUMU-MT9,704-46*12,P,Q. muehlenbergii,X,X,X,X,X,,,-88.063254,41.81167,55.2,,,,
UHA-0016,SH-Q2782,QUMU-MT13,704-46*14,P,Q. muehlenbergii,X,X,X,X,X,,,-88.063069,41.811735,46.2,,,,
UHA-0017,SH-Q2783,QUMA-MT4,1443-2004*1,P,Q. macrocarpa,X,X,X,X,X,,,-88.071193,41.815018,34.1,,,,
UHA-0018,SH-Q2784,QUMA-MT7,316-85*1,P,Q. macrocarpa,X,X,X,X,X,,,,,NA,,,,"Removed from study, outside range"
UHA-0172,SH-Q3110,,NA,P,Q. x humidicola,X,,,,,,9/1/23,-88.06630278,41.81127634,52.8,,,,
UHA-0173,SH-Q3111,,NA,P,Q. x humidicola,X,,,,,,9/1/23,-88.06641166,41.81106623,29.1,23.8,26.5,,"I had a hard time finding this one, I think it might be a red oak, but it was closest to the coordinates. It is my best guess for what tree this was with no accession information."
UHA-0174,SH-Q3112,,NA,P,Q. macrocarpa,X,,,,,,9/1/23,-88.0668092,41.8109505,49.4,,,,
UHA-0175,SH-Q3113,,NA,P,Q. macrocarpa,X,,,,,,9/1/23,-88.06674185,41.81093655,40.4,,,,
UHA-0176,SH-Q3114,,NA,P,Q. x humidicola,X,,,,,,9/1/23,-88.0663978,41.8109425,37,,,,
UHA-0177,SH-Q3115,,NA,P,Q. macrocarpa,X,,,,,,9/1/23,-88.06620011,41.8109599,33.3,,,,
UHA-0178,SH-Q3116,,NA,P,Q. macrocarpa,X,,,,,,9/1/23,-88.06612306,41.81090792,40.5,,,,
UHA-0179,SH-Q3117,,NA,P,Q. macrocarpa,X,,,,,,9/1/23,-88.06617062,41.81120789,69.2,,,,
UHA-0180,,,NA,P,Q. macrocarpa,,,,,,,9/14/23,-88.06016294,41.81331623,73.6,,,,
UHA-0181,,,NA,P,Q. macrocarpa,,,,,,,9/14/23,-88.05990421,41.81349473,90.9,,,,
UHA-0182,,,NA,P,Q. macrocarpa,,,,,,,9/14/23,-88.0599728,41.8137023,75.1,,,,
UHA-0183,SH-Q2840,,1277-2004*1,P,Q. alba,X,X,X,X,X,,06/01,-88.069844,41.813993,27.3,,,,
UHA-0184,SH-Q2841,,1277-2004*3,P,Q. alba,X,X,X,X,Rerun,,06/07,-88.069869,41.814047,29.8,,,,
UHA-0185,NA,,134-U*1,P,Q. alba,No tissue,,,,,Couldn't find (5/31) - possibly removed,,-88.065154,41.818153,NA,,,,
UHA-0186,SH-Q2842,,239-42*1,P,Q. alba,X,X,X,X,X,,5/31/23,-88.069282,41.816511,63.1,,,,
UHA-0187,SH-Q2843,,392-2006*1,P,Q. alba,X,X,X,X,X,,06/01,-88.068177,41.813475,28.6,,,,
UHA-0188,SH-Q2844,,468-2001*1,P,Q. alba,X,X,X,X,X,,06/07,-88.062587,41.814651,26.2,8.1,,,
UHA-0189,SH-Q3118,,468-2001*2,P,Q. alba,X,,,,,,9/1/23,-88.063049,41.815225,26.3,,,,
UHA-0190,SH-Q3119,,468-2001*3,P,Q. alba,X,,,,,,9/1/23,-88.062965,41.81532,14.8,,,,
UHA-0191,SH-Q2845,,755-79*2,P,Q. alba,X,X,X,X,X,,06/01,-88.066559,41.813961,32.6,,,,
UHA-0192,NA,,530-2008*7,P,Q. aliena var. acutiserrata,No tissue,,,,,,,-88.062315,41.81588,NA,,,,"No tissue, can't find"
UHA-0193,SH-Q2846,,1278-2004*1,P,Q. bicolor,X,X,X,X,Rerun,,5/31/23,-88.068569,41.814118,28.3,,,,
UHA-0194,SH-Q2847,,1278-2004*3,P,Q. bicolor,X,X,X,X,X,,6/1/23,-88.068624,41.813697,25.4,,,,
UHA-0195,SH-Q2848,,1278-2004*4,P,Q. bicolor,X,X,X,X,X,,06/01/2023,-88.068607,41.81373,29.2,,,,
UHA-0196,SH-Q2849,,1278-2004*5,P,Q. bicolor,X,X,X,X,X,,06/01/2023,-88.068609,41.813769,24.6,,,,
UHA-0197,SH-Q2850,,1294-2004*1,P,Q. bicolor,X,X,X,X,X,,06/01/2023,-88.069395,41.813639,26.1,,,,
UHA-0198,SH-Q2851,,1294-2004*2,P,Q. bicolor,X,X,X,X,X,,06/01/2023,-88.069494,41.813636,NA,,,,Not found in children's garden! No more accession info in BRAHMS
UHA-0199,SH-Q3120,,135-U*10,P,Q. bicolor,X,,,,,,9/1/23,-88.06093,41.813936,59.3,,,,
UHA-0200,NA,,135-U*12,P,Q. bicolor,No tissue,,,,,Removed - 9/1/23,Removed,-88.060932,41.813977,NA,,,,"Tree was removed from grounds, stump found 7/3/24"
UHA-0201,NA,,135-U*13,P,Q. bicolor,No tissue,,,,,Removed - 9/1/23,removed,-88.060952,41.814018,NA,,,,"Tree was removed from grounds, stump found 7/3/24"
UHA-0202,SH-Q2852,QUBI-MT7,135-U*3,P,Q. bicolor,X,X,X,X,X,,5/31/23,-88.069315,41.816016,56,,,,
UHA-0203,SH-Q3135,,135-U*8,P,Q. bicolor,X,,,,,,9/1/23,-88.060924,41.813812,74.1,,,,
UHA-0204,SH-Q3136,,135-U*9,P,Q. bicolor,X,,,,,,9/1/23,-88.060928,41.813895,74.3,,,,
UHA-0205,SH-Q2853,QUBI-MT3,393-2006*1,P,Q. bicolor,X,X,X,X,X,,06/01/2023,-88.069529,41.813432,35.1,,,,
UHA-0206,SH-Q2854,QUBI-MT5,393-2006*2,P,Q. bicolor,X,X,X,X,X,,5/31/23,-88.069997,41.814384,27.3,,,,
UHA-0207,SH-Q2855,QUBI-MT2,463-84*5,P,Q. bicolor,X,X,X,X,X,,06/01/23,-88.065546,41.814944,56.6,,,,
UHA-0208,SH-Q2856,,525-32*1,P,Q. bicolor,X,X,X,X,X,,5/31/23,-88.069329,41.816331,44.7,,,,
UHA-0209,SH-Q2857,,551-2005*3,P,Q. bicolor,X,X,X,X,X,,06/01/2023,-88.068131,41.813429,26,,,,
UHA-0210,SH-Q2858,,616-30*3,P,Q. × deamii,X,X,X,X,X,,06/08/2023,-88.067528,41.816267,85.6,,,,
UHA-0211,SH-Q2859,,173-2001*1,P,Q. dentata,X,X,X,X,X,,06/08/2023,-88.0644,41.817529,19.5,,,,
UHA-0212,SH-Q2860,,173-2001*2,P,Q. dentata,X,X,X,X,X,,06/08/2023,-88.064301,41.817535,17.3,,,,
UHA-0213,SH-Q2861,,210-91*1,P,Q. prinoides,X,X,X,X,X,,06/07/23,-88.062858,41.814562,29.8,11.2,,,
UHA-0214,SH-Q2862,,210-91*5,P,Q. prinoides,X,X,X,X,X,,06/07/23,-88.062814,41.814484,28.7,,,,
UHA-0215,SH-Q2863,,699-50*1,P,Q. × humidicola,X,X,X,X,X,,5/31/23,-88.06631,41.811194,31.2,,,,
UHA-0216,SH-Q2864,,699-50*2,P,Q. × humidicola,X,X,X,X,X,,5/31/23,-88.066252,41.81119,59.3,,,,
UHA-0217,SH-Q2865,,699-50*3,P,Q. × humidicola,X,X,X,X,X,,5/31/23,-88.066283,41.810901,61.8,,,,
UHA-0218,SH-Q2866,,699-50*4,P,Q. × humidicola,X,X,X,X,X,,5/31/23,-88.066205,41.81098,68.8,,,,
UHA-0219,SH-Q2867,,699-50*5,P,Q. × humidicola,X,X,X,X,X,,5/31/23,-88.066246,41.811069,39.7,,,,
UHA-0220,SH-Q2868,,699-50*7,P,Q. × humidicola,X,X,X,X,X,,5/31/23,-88.066181,41.811162,40.8,,,,
UHA-0221,SH-Q2869,,35-2007*3,P,Q. × macdanielii,X,X,X,X,X,,5/31/23,-88.070197,41.816389,18.7,,,,
UHA-0222,SH-Q2870,,35-2007*4,P,Q. × macdanielii,X,X,X,X,X,,5/31/23,-88.070287,41.816345,17.9,,,,
UHA-0223,SH-Q2871,,1279-2004*10,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.069986,41.813794,29.7,,,,
UHA-0224,SH-Q2872,,1279-2004*2,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.068949,41.813826,33.8,,,,
UHA-0225,SH-Q2873,,1279-2004*3,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.068608,41.813516,28.8,,,,
UHA-0226,SH-Q2874,,1279-2004*7,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.068387,41.813409,32.1,,,,
UHA-0227,SH-Q2875,,1279-2004*8,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.068512,41.813491,27.6,,,,
UHA-0228,SH-Q2876,,1279-2004*9,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.069115,41.813764,31,,,,
UHA-0229,SH-Q2877,QUMA-MT4,"1443-2004*1",P,Q. macrocarpa,X,X,X,X,X,,06/08/23,-88.071193,41.815018,,,,,
UHA-0230,SH-Q2878,QUMA-MT8,16-2006*1,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.070629,41.816114,32.3,,,,
UHA-0231,SH-Q2879,QUMA-MT6,478-2001*1,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.065699,41.814998,34.8,,,,
UHA-0232,SH-Q2880,,478-2001*3,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.065708,41.81511,27.7,,,,
UHA-0233,SH-Q2881,,527-2000*1,P,Q. macrocarpa,X,X,X,X,X,,06/07/2023,-88.064893,41.814113,29.6,,,,
UHA-0234,SH-Q3137,,527-2000*3,P,Q. macrocarpa,X,,,,,,9/1/23,-88.06334,41.814841,21,,,,
UHA-0235,SH-Q3138,,527-2000*4,P,Q. macrocarpa,X,,,,,,9/1/23,-88.063468,41.814898,27.5,,,,
UHA-0236,SH-Q3139,,527-2000*5,P,Q. macrocarpa,X,,,,,,9/1/23,-88.063326,41.814932,33.2,,,,
UHA-0237,SH-Q2882,QUMA-MT5,527-2000*6,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.065539,41.814788,,,,,
UHA-0238,SH-Q2883,,537-82*14,P,Q. macrocarpa,X,X,X,X,X,,05/31/23,-88.06646,41.81765,53.5,,,,
UHA-0239,SH-Q2884,,537-82*2,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.066492,41.814429,42.1,,,,
UHA-0240,SH-Q2885,,537-82*3,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.066813,41.814478,54.2,,,,
UHA-0241,SH-Q2886,,54-2007*3,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.070338,41.815844,18.8,,,,
UHA-0242,SH-Q2887,,548-82*2,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.065516,41.814031,37.2,,,,
UHA-0243,SH-Q2888,,548-82*4,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.065452,41.814057,40.3,,,,
UHA-0244,SH-Q2889,,548-82*5,P,Q. macrocarpa,X,X,Rerun,Rerun,Rerun,"Duplicate inconsistent in all multiplexes, rerun in new dilution plate",06/01/23,-88.065456,41.814153,33.5,,,,
UHA-0245,SH-Q2890,QUMA-MT3,582-2004*1,P,Q. macrocarpa,X,X,X,X,X,,06/08/23,-88.070533,41.815609,38,,,,
UHA-0246,SH-Q2891,,582-2004*3,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.070591,41.815934,29.6,,,,
UHA-0247,SH-Q2892,,582-2004*4,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.070395,41.815801,29.8,,,,
UHA-0248,SH-Q2893,,539-96*8,P,Q. michauxii,X,X,X,X,X,,6/7/23,-88.063309,41.814221,NA,,,,"Stump of tree found, doesn't exist anymore (7/12/24)"
UHA-0249,SH-Q2894,,539-96*9,P,Q. michauxii,X,X,X,X,X,,6/7/23,-88.063408,41.814304,31.4,,,,
UHA-0250,NA,,333-94*8,P,Q. mongolica,No tissue,,,,,"Not found, 06/01/23",,,,NA,,,,
UHA-0251,SH-Q2895,,333-94*9,P,Q. mongolica,X,X,X,X,X,,06/01/23,-88.068722,41.813274,18.2,12.4,16.6,,"Three main trunks, diameter of the base: 30.5"
UHA-0252,SH-Q2896,,343-94*6,P,Q. mongolica,X,X,X,X,X,,06/01/23,-88.068983,41.813863,24.8,,,,
UHA-0253,NA,,852-2005*2,P,Q. mongolica,No tissue,,,,,"Not found, possibly removed 6/8/23",,,,NA,,,,
UHA-0254,SH-Q2897,,207-40*1,P,Q. montana,X,X,X,X,X,,5/31/23,-88.069208,41.816087,43.4,,,,
UHA-0255,SH-Q2898,,207-40*5,P,Q. montana,X,X,X,X,X,,06/08/23,-88.067914,41.816271,49.1,,,,
UHA-0256,SH-Q2899,,474-2001*1,P,Q. muehlenbergii,X,X,X,X,X,,06/01/23,-88.065297,41.814547,29.5,,,,
UHA-0257,SH-Q2900,QUMU-MT17,549-82*4,P,Q. muehlenbergii,X,X,X,X,X,,06/01/23,-88.06577,41.814038,68.2,,,,
UHA-0258,SH-Q2901,,549-82*6,P,Q. muehlenbergii,X,X,X,X,X,,06/01/23,-88.06581,41.814109,39.2,,,,
UHA-0259,SH-Q2902,,550-82*6,P,Q. muehlenbergii,X,X,X,X,X,,5/31/23,-88.066622,41.817259,54.5,,,,
UHA-0260,SH-Q2903,QUMU-MT7,570-78*1,P,Q. muehlenbergii,X,X,X,X,X,,06/01/23,-88.066314,41.813805,66.6,,,,
UHA-0261,SH-Q2904,QUMU-MT16,570-78*3,P,Q. muehlenbergii,X,X,X,X,X,,06/01/23,-88.066218,41.813887,50.6,,,,
UHA-0262,SH-Q2905,QUMU-MT14,704-46*10,P,Q. muehlenbergii,X,X,X,X,X,,06/01/23,-88.064,41.811708,58.5,,,,
UHA-0263,SH-Q2906,,704-46*11,P,Q. muehlenbergii,X,X,X,X,X,,06/01/23,-88.063389,41.811663,61.1,,,,
UHA-0264,SH-Q2907,QUMU-MT10,704-46*15,P,Q. muehlenbergii,X,X,X,X,X,,06/01/23,-88.063301,41.811734,46.9,,,,
UHA-0265,SH-Q2908,QUMU-MT12,704-46*16,P,Q. muehlenbergii,X,X,X,X,X,,06/01/23,-88.063121,41.811813,52.5,,,,
UHA-0266,SH-Q2909,QUMU-MT11,704-46*17,P,Q. muehlenbergii,X,X,X,X,X,,06/01/23,-88.063221,41.811843,74.5,32.2,15.1,16.8,Four main trunks
UHA-0267,SH-Q2910,QUMU-MT5,704-46*9,P,Q. muehlenbergii,X,X,X,X,X,,5/31/23,-88.066639,41.813953,,,,,
UHA-0268,SH-Q3140,,120-2001*2,P,Q. prinoides,X,,,,,,9/1/23,-88.063133,41.813314,13.2,5.3,6.8,,"One main trunk, two larger branches. Dwarf tree"
UHA-0269,SH-Q3141,,120-2001*3,P,Q. prinoides,X,,,,,,9/1/23,-88.063184,41.813308,16.4,8.1,,,"One main trunk, one larger branch. Dwarf tree"
UHA-0270,SH-Q3142,,365-2007*1,P,Q. prinoides,X,,,,,,9/1/23,-88.062577,41.814501,5.7,,,,"Dwarf, measured 6 in from ground"
UHA-0271,SH-Q3143,,365-2007*5,P,Q. prinoides,X,,,,,,9/1/23,-88.062582,41.814539,5.7,,,,"Dwarf, measured 6 in from ground"
UHA-0272,SH-Q3144,,365-2007*6,P,Q. prinoides,X,,,,,,9/1/23,-88.062539,41.814551,4.5,3.1,,,"Dwarf, measured 6 in from ground"
UHA-0273,SH-Q2911,,563-32*1,P,Q. robur,X,X,X,X,X,,5/31/23,-88.068934,41.816519,78.05,21.8,,,"Big branch right at the level of the DBH, averaged the measurements above (76.3) and below (79.8) breast hieght"
UHA-0274,NA,,28-93*1,P,Q. stellata,No tissue ,,,,,"Not found, possibly removed 6/8/23",,,,NA,,,,
UHA-0275,NA,,65-2008*2,P,Q. stellata,No tissue ,,,,,"Not found, possibly removed 6/8/23",,,,NA,,,,
UHA-0276,SH-Q3133,,479-2001*1,P,Q. stellata,X,,,,,,9/1/23,-88.062894,41.815127,26.1,,,,
UHA-0277,SH-Q3134,,479-2001*2,P,Q. stellata,X,,,,,,9/1/23,-88.062878,41.815243,22.2,,,,
UHA-0278,,,479-2001*3,P,Q. stellata,,,,,,,9/1/23,-88.062778,41.815141,23,8.3,,,
UHA-0279,,,NA,P,Q. alba,,,,,,,5/31/23,-88.06474148,41.81779825,NA,,,,Can't find this tree
UHA-0280,,,NA,P,Q. macrocarpa,,,,,,,5/31/23,-88.06499704,41.81788699,NA,,,,Can't find this tree
UHA-0281,SH-Q2912,,NA,P,Q. macrocarpa,X,X,X,Rerun,Rerun,,5/31/23,-88.0649961,41.8175442,89.1,,,,"Old coordinates: (41.8173828,-88.0649243)"
UHA-0282,SH-Q2913,,NA,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.0650209,41.8177066,90.4,,,,
UHA-0283,SH-Q2914,,NA,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.0654367,41.81729735,NA,,,,"Two trees here, will be one of UHA-0494 or UHA-0495"
UHA-0284,SH-Q2915,,NA,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.06558142,41.81742825,102,,,,
UHA-0285,SH-Q2916,,NA,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.06560829,41.81749585,69.9,,,,
UHA-0286,SH-Q2917,,NA,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.06581009,41.81762027,NA,,,,"Three trees in this cluster, only took one (UHA-0287) and resampled the leaves"
UHA-0287,SH-Q2918,,NA,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.06579826,41.81764784,64.8,,,,
UHA-0288,SH-Q2919,,NA,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.06577984,41.81780834,76.4,,,,
UHA-0289,SH-Q2920,,NA,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.0656644,41.81788654,NA,,,,Can't find these
UHA-0290,SH-Q2921,,NA,P,Q. macrocarpa,X,X,X,X,X,,5/31/23,-88.06549382,41.81793322,NA,,,,Can't find these
UHA-0291,,,NA,P,Q. macrocarpa,,,,,,,5/31/23,-88.06555743,41.81785163,NA,,,,Can't find these
UHA-0292,,,NA,P,Q. muehlenbergii,,,,,,,7/12/24,-88.0642045,41.813201,89.3,,,,Originally too tall to sample
UHA-0293,,,NA,P,Q. muehlenbergii,,,,,,,7/12/24,-88.0641549,41.8132325,74.6,,,,Originally too tall to sample
UHA-0294,SH-Q2922,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.06416,41.813413,NA,,,,"Three trees here, along with UHA-0292 and UHA-0293. Assigned new UHA-0504"
UHA-0295,SH-Q2923,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/01/23,-88.06459,41.81353,74,,,,
UHA-0296,,,NA,P,Q. macrocarpa,No tissue,,,,,,Could not reach,,,NA,,,,
UHA-0297,,,NA,P,Q. macrocarpa,No tissue,,,,,,Could not reach,,,NA,,,,
UHA-0299,SH-Q2925,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.064494,41.813903,73.5,,,,
UHA-0300,SH-Q2926,,NA,P,Q. alba,X,X,X,X,X,,06/07/23,-88.0643,41.813909,71.3,,,,
UHA-0301,SH-Q2927,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06422,41.813675,71.3,54.3,58.7,,Three main trunks
UHA-0302,SH-Q2928,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.0638575,41.8136948,80.4,,,,"Old coords: (41.81362,-88.0638)"
UHA-0303,SH-Q2929,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.0638,41.813691,112.4,,,,
UHA-0304,SH-Q2930,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06386,41.813757,NA,,,,No tree here
UHA-0305,SH-Q2931,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06401,41.813752,65.7,,,,
UHA-0306,SH-Q2932,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06395,41.813922,83.5,,,,
UHA-0307,SH-Q2933,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06395,41.813945,58,,,,
UHA-0308,SH-Q2934,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06395,41.813866,33.6,,,,
UHA-0309,SH-Q2935,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06402,41.813894,54.8,,,,
UHA-0310,SH-Q2936,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06379,41.814067,NA,,,,"Two trees at this spot, assigned new UHA's (UHA-0505 and UHA-0506)"
UHA-0311,SH-Q2937,,NA,P,Q. alba,X,X,X,X,X,,06/07/23,-88.0637934,41.8139644,51.6,,,,"Old coords: (41.813932,-88.06376)"
UHA-0312,SH-Q2938,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.0637,41.813737,82.1,,,,
UHA-0313,SH-Q2939,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06341939,41.8136972,73.2,56.7,,,
UHA-0314,SH-Q2940,,NA,P,Q. alba,X,X,X,X,X,,06/07/23,-88.06374,41.813847,96.4,,,,
UHA-0315,SH-Q3272,,NA,P,Q. macrocarpa,X,,,,,,06/07/23,-88.0636,41.813918,124,,,,
UHA-0316,SH-Q2941,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06376,41.814118,NA,,,,"Can't find, new UHA-0505/0506"
UHA-0317,SH-Q2942,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.06372,41.814205,79.9,,,,
UHA-0318,SH-Q2943,,NA,P,Q. macrocarpa,X,X,X,X,X,,06/07/23,-88.0646245,41.8141471,108.5,,,,"Old coords: (41.814211,-88.06364)"
