"Offspring_ID","Mother_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0127","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0058","UHA-0260","UHA-0351","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",61.6013448946619,FALSE
"UHA-0020","UHA-0261","UHA-0260","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",12.1070215511337,FALSE
"UHA-0023","UHA-0261","UHA-0260","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",12.1070215511337,FALSE
"UHA-0025","UHA-0261","UHA-0258","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"570-78","549-82",41.9200876913421,FALSE
"UHA-0026","UHA-0261","UHA-0351","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",51.1992694526717,FALSE
"UHA-0027","UHA-0261","UHA-0257","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",40.8287737366712,FALSE
"UHA-0099","UHA-0257","UHA-0258","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0056","UHA-0260","UHA-0258","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"570-78","549-82",53.7947062909681,FALSE
"UHA-0068","UHA-0014","UHA-0264","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063301,41.811734,"704-46*15",TRUE,"704-46","704-46",11.6527505722726,FALSE
"UHA-0070","UHA-0014","UHA-0262","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.064,41.811708,"704-46*10",TRUE,"704-46","704-46",68.434531179392,FALSE
"UHA-0071","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0079","UHA-0014","UHA-0267","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.066639,41.813953,"704-46*9",TRUE,"704-46","704-46",382.373795362266,FALSE
"UHA-0080","UHA-0014","UHA-0265","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063121,41.811813,"704-46*16",TRUE,"704-46","704-46",14.9590685740559,FALSE
"UHA-0081","UHA-0014","UHA-0262","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.064,41.811708,"704-46*10",TRUE,"704-46","704-46",68.434531179392,FALSE
"UHA-0093","UHA-0015","UHA-0265","Q. muehlenbergii",-88.063254,41.81167,"704-46*12","Q. muehlenbergii",-88.063121,41.811813,"704-46*16",TRUE,"704-46","704-46",19.3495616125236,FALSE
"UHA-0094","UHA-0015","UHA-0266","Q. muehlenbergii",-88.063254,41.81167,"704-46*12","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",19.4097192973039,FALSE
"UHA-0095","UHA-0015","UHA-0266","Q. muehlenbergii",-88.063254,41.81167,"704-46*12","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",19.4097192973039,FALSE
"UHA-0096","UHA-0015","UHA-0266","Q. muehlenbergii",-88.063254,41.81167,"704-46*12","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",19.4097192973039,FALSE
"UHA-0097","UHA-0015","UHA-0266","Q. muehlenbergii",-88.063254,41.81167,"704-46*12","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",19.4097192973039,FALSE
"UHA-0101","UHA-0257","UHA-0260","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0109","UHA-0257","UHA-0261","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066218,41.813887,"570-78*3",FALSE,"549-82","570-78",40.8287737366712,FALSE
"UHA-0111","UHA-0257","UHA-0258","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0298","UHA-0351","UHA-0272","Q. muehlenbergii",-88.065622,41.814004,"549-82*5","Q. prinoides",-88.062539,41.814551,"365-2007*6",FALSE,"549-82","365-20",263.276279619941,TRUE
"UHA-0053","UHA-0260","UHA-0351","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",61.6013448946619,FALSE
"UHA-0069","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0072","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0073","UHA-0014","UHA-0267","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.066639,41.813953,"704-46*9",TRUE,"704-46","704-46",382.373795362266,FALSE
"UHA-0076","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0102","UHA-0257","UHA-0351","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.065622,41.814004,"549-82*5",TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0106","UHA-0257","UHA-0260","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0110","UHA-0257","UHA-0258","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0036","UHA-0261","UHA-0257","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",40.8287737366712,FALSE
"UHA-0089","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0040","UHA-0261","UHA-0351","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",51.1992694526717,FALSE
"UHA-0041","UHA-0261","UHA-0260","Q. muehlenbergii",-88.066218,41.813887,"570-78*3","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",12.1070215511337,FALSE
"UHA-0090","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0059","UHA-0260","UHA-0258","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"570-78","549-82",53.7947062909681,FALSE
"UHA-0082","UHA-0014","UHA-0009","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.069397,41.814984,"704-46*5",TRUE,"704-46","704-46",633.546559668374,FALSE
"UHA-0083","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0084","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0085","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0086","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0087","UHA-0014","UHA-0262","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.064,41.811708,"704-46*10",TRUE,"704-46","704-46",68.434531179392,FALSE
"UHA-0088","UHA-0014","UHA-0262","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.064,41.811708,"704-46*10",TRUE,"704-46","704-46",68.434531179392,FALSE
"UHA-0091","UHA-0014","UHA-0266","Q. muehlenbergii",-88.063177,41.811685,"704-46*13","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.9258177176078,FALSE
"UHA-0113","UHA-0257","UHA-0260","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0118","UHA-0351","UHA-0261","Q. muehlenbergii",-88.065622,41.814004,"549-82*5","Q. muehlenbergii",-88.066218,41.813887,"570-78*3",FALSE,"549-82","570-78",51.1992694526717,FALSE
"UHA-0119","UHA-0351","UHA-0257","Q. muehlenbergii",-88.065622,41.814004,"549-82*5","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0120","UHA-0351","UHA-0257","Q. muehlenbergii",-88.065622,41.814004,"549-82*5","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0121","UHA-0351","UHA-0257","Q. muehlenbergii",-88.065622,41.814004,"549-82*5","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0122","UHA-0351","UHA-0257","Q. muehlenbergii",-88.065622,41.814004,"549-82*5","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0123","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0124","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0129","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0133","UHA-0010","UHA-0224","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. macrocarpa",-88.068949,41.813826,"1279-2004*2",FALSE,"704-46","1279-2",330.623473471234,TRUE
"UHA-0134","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0137","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0139","UHA-0010","UHA-0260","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",320.609176296008,FALSE
"UHA-0143","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0144","UHA-0010","UHA-0265","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.063121,41.811813,"704-46*16",TRUE,"704-46","704-46",637.63705868461,FALSE
"UHA-0147","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0150","UHA-0012","UHA-0266","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",292.926668920982,FALSE
"UHA-0162","UHA-0012","UHA-0177","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus macrocarpa",-88.06620011,41.8109599,NA,NA,"704-46",NA,43.4919758298184,TRUE
"UHA-0164","UHA-0016","UHA-0266","Q. muehlenbergii",-88.063069,41.811735,"704-46*14","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.4189098382475,FALSE
"UHA-0165","UHA-0016","UHA-0266","Q. muehlenbergii",-88.063069,41.811735,"704-46*14","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.4189098382475,FALSE
"UHA-0167","UHA-0013","UHA-0260","Q. muehlenbergii",-88.06758,41.815615,"704-46*6","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",226.894363018014,FALSE
"UHA-0151","UHA-0012","UHA-0351","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"704-46","549-82",324.715679828922,FALSE
"UHA-0152","UHA-0012","UHA-0260","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",292.760264172469,FALSE
"UHA-0155","UHA-0012","UHA-0257","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"704-46","549-82",325.435933133521,FALSE
"UHA-0157","UHA-0012","UHA-0258","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",332.432959690211,FALSE
"UHA-0159","UHA-0012","UHA-0260","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",292.760264172469,FALSE
"UHA-0160","UHA-0012","UHA-0257","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"704-46","549-82",325.435933133521,FALSE
"UHA-0161","UHA-0012","UHA-0260","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",292.760264172469,FALSE
"UHA-0428","UHA-0015","UHA-0266","Q. muehlenbergii",-88.063254,41.81167,"704-46*12","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",19.4097192973039,FALSE
"UHA-0429","UHA-0012","UHA-0258","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",332.432959690211,FALSE
"UHA-0431","UHA-0012","UHA-0260","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",292.760264172469,FALSE
"UHA-0433","UHA-0012","UHA-0258","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",332.432959690211,FALSE
"UHA-0436","UHA-0010","UHA-0265","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.063121,41.811813,"704-46*16",TRUE,"704-46","704-46",637.63705868461,FALSE
"UHA-0437","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0438","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0441","UHA-0260","UHA-0261","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.066218,41.813887,"570-78*3",TRUE,"570-78","570-78",12.1070215511337,FALSE
"UHA-0443","UHA-0260","UHA-0257","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",52.0859387345233,FALSE
"UHA-0445","UHA-0260","UHA-0258","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"570-78","549-82",53.7947062909681,FALSE
"UHA-0447","UHA-0260","UHA-0257","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",52.0859387345233,FALSE
"UHA-0449","UHA-0260","UHA-0257","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",52.0859387345233,FALSE
"UHA-0450","UHA-0260","UHA-0257","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",52.0859387345233,FALSE
"UHA-0454","UHA-0257","UHA-0260","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0458","UHA-0257","UHA-0258","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0459","UHA-0257","UHA-0258","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0460","UHA-0257","UHA-0260","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",52.0859387345233,FALSE
