"","row_names","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"2",2,"UHA-0127",8,0.00272,3.4e-06,"UHA-0010",10,7,0,3.22,"UHA-0259",10,7,1,3.5,0,"",7,1,5.41,5.41,"*"
"6",6,"UHA-0058",10,0.000574,3.47e-07,"UHA-0260",11,10,1,1.55,"UHA-0351",11,10,1,4.89,2.05,"*",10,3,2.31,2.31,"*"
"7",7,"UHA-0020",11,1.13e-05,7.21e-09,"UHA-0261",11,11,1,3.5,"UHA-0260",11,11,0,12.4,12.4,"*",11,4,4.25,4.25,"*"
"8",8,"UHA-0023",9,0.00398,5.15e-07,"UHA-0261",11,9,0,4.36,"UHA-0260",11,9,0,11.9,11.8,"*",9,1,10.8,10.8,"*"
"9",9,"UHA-0025",11,6.25e-05,8.33e-06,"UHA-0261",11,11,1,7.11,"UHA-0258",10,10,0,9.22,9.22,"*",10,2,7.52,7.52,"*"
"10",10,"UHA-0026",10,0.00177,4.19e-06,"UHA-0261",11,10,1,1.76,"UHA-0351",11,10,2,0.283,0,"",10,3,0.511,0.511,"*"
"11",11,"UHA-0027",11,0.00048,7.15e-07,"UHA-0261",11,11,0,8.89,"UHA-0257",11,11,1,4.46,1.37,"+",11,1,8.13,8.13,"*"
"13",13,"UHA-0099",11,0.000577,3.42e-06,"UHA-0257",11,11,0,11.8,"UHA-0258",10,10,1,2.83,2.83,"*",10,1,3.98,3.98,"*"
"20",20,"UHA-0056",9,0.00342,3.26e-05,"UHA-0260",11,9,1,0.452,"UHA-0258",10,8,0,6.79,6.17,"*",8,1,8.99,8.99,"*"
"21",21,"UHA-0068",10,0.00307,2.67e-05,"UHA-0014",11,10,1,1.7,"UHA-0264",11,10,0,5.69,0,"",10,2,3.23,0.579,"*"
"22",22,"UHA-0070",11,0.00201,7.43e-05,"UHA-0014",11,11,0,11.8,"UHA-0262",11,11,1,9.34,0.846,"+",11,1,6.77,0.071,"*"
"23",23,"UHA-0071",10,0.00198,4.32e-05,"UHA-0014",11,10,0,9.17,"UHA-0266",10,10,0,5.28,0,"",10,0,8.87,8.87,"*"
"26",26,"UHA-0079",11,5.14e-05,1.1e-06,"UHA-0014",11,11,0,12.3,"UHA-0267",11,11,0,10.7,1.14,"+",11,1,6.76,0.692,"*"
"27",27,"UHA-0080",10,0.000346,3.54e-07,"UHA-0014",11,10,1,1.73,"UHA-0265",11,10,0,13.6,6.1,"*",10,1,15.6,13.3,"*"
"28",28,"UHA-0081",10,0.00494,0.00187,"UHA-0014",11,10,0,12.2,"UHA-0262",11,10,0,10.7,2.43,"*",10,0,8.87,5.16,"*"
"29",29,"UHA-0093",8,0.00501,3.92e-05,"UHA-0015",11,8,0,5.64,"UHA-0265",11,8,0,9.26,2.96,"*",8,0,10.5,6.33,"*"
"30",30,"UHA-0094",11,0.000392,9.26e-10,"UHA-0015",11,11,0,5.18,"UHA-0266",10,10,2,0.29,0,"",10,2,3.46,3.46,"*"
"31",31,"UHA-0095",11,0.000945,8.98e-08,"UHA-0015",11,11,1,1.46,"UHA-0266",10,10,1,4.81,0,"",10,2,7.38,7.38,"*"
"32",32,"UHA-0096",6,0.0299,0.000256,"UHA-0015",11,6,0,2.46,"UHA-0266",10,6,0,5.19,2.72,"*",6,0,7.4,7.4,"*"
"33",33,"UHA-0097",9,0.000484,3.38e-06,"UHA-0015",11,9,1,5.51,"UHA-0266",10,8,0,9.58,0,"",8,1,11.9,7.71,"*"
"35",35,"UHA-0101",9,0.00603,1.04e-05,"UHA-0257",11,9,0,5.62,"UHA-0260",11,9,1,3.05,3.05,"*",9,1,6.45,6.45,"*"
"37",37,"UHA-0109",11,0.000886,2.11e-08,"UHA-0257",11,11,0,5.76,"UHA-0261",11,11,1,6.47,6.47,"*",11,1,11.2,11.2,"*"
"38",38,"UHA-0111",11,0.000536,1.26e-06,"UHA-0257",11,11,1,5.04,"UHA-0258",10,10,0,8.56,4,"*",10,3,3.41,3.41,"*"
"40",40,"UHA-0298",11,0.00139,0.00109,"UHA-0351",11,11,0,16.1,"UHA-0272",11,11,0,2.15,2.15,"*",11,0,4.61,4.24,"*"
"45",45,"UHA-0053",11,0.00154,3.88e-08,"UHA-0260",11,11,0,6.42,"UHA-0351",11,11,1,4.26,3.75,"*",11,3,0.112,0.112,"*"
"48",48,"UHA-0069",11,0.0024,1.62e-06,"UHA-0014",11,11,1,0.912,"UHA-0266",10,10,0,8.7,1.26,"+",10,2,6.84,6.84,"*"
"49",49,"UHA-0072",11,0.00257,9.35e-06,"UHA-0014",11,11,0,7.89,"UHA-0266",10,10,0,5.97,0,"",10,0,9.99,9.99,"*"
"50",50,"UHA-0073",11,0.000529,9.93e-06,"UHA-0014",11,11,1,5.72,"UHA-0267",11,11,0,13.3,4.02,"*",11,2,8.14,7.27,"*"
"52",52,"UHA-0076",11,0.00117,2.35e-06,"UHA-0014",11,11,0,9.21,"UHA-0266",10,10,0,4.65,0,"",10,0,7.52,7.52,"*"
"54",54,"UHA-0102",11,0.000132,8.04e-06,"UHA-0257",11,11,2,0.833,"UHA-0351",11,11,0,12.8,12.8,"*",11,2,13.9,13.9,"*"
"55",55,"UHA-0106",11,0.0016,3.43e-05,"UHA-0257",11,11,1,5.05,"UHA-0260",11,11,1,3.2,3.2,"*",11,2,6.06,6.06,"*"
"56",56,"UHA-0110",11,0.0015,9.82e-07,"UHA-0257",11,11,1,3.04,"UHA-0258",10,10,0,6.66,6.66,"*",10,3,3.49,3.49,"*"
"57",57,"UHA-0036",10,0.00187,5.04e-07,"UHA-0261",11,10,1,2.04,"UHA-0257",11,10,1,2.17,2.17,"*",10,3,2.72,2.72,"*"
"60",60,"UHA-0089",11,0.000151,1.39e-06,"UHA-0014",11,11,1,6.39,"UHA-0266",10,10,0,4.33,0,"",10,2,3.38,3.38,"*"
"61",61,"UHA-0040",11,0.00181,3.37e-07,"UHA-0261",11,11,0,8.39,"UHA-0351",11,11,1,3.86,2.79,"*",11,2,2.66,2.66,"*"
"62",62,"UHA-0041",11,0.000129,7.9e-10,"UHA-0261",11,11,0,9.56,"UHA-0260",11,11,1,7.31,7.31,"*",11,3,3.31,3.31,"*"
"63",63,"UHA-0090",11,0.00141,4.96e-08,"UHA-0014",11,11,0,4.8,"UHA-0266",10,10,0,7.92,1.43,"+",10,1,8.51,8.51,"*"
"64",64,"UHA-0059",11,8.57e-05,3.56e-06,"UHA-0260",11,11,1,7.93,"UHA-0258",10,10,1,2.1,2.1,"*",10,3,0.46,0.46,"*"
"66",66,"UHA-0082",11,0.00125,3.64e-05,"UHA-0014",11,11,0,10.7,"UHA-0009",11,11,0,5.82,0,"",11,1,4.74,0.683,"*"
"67",67,"UHA-0083",11,0.00081,2.37e-06,"UHA-0014",11,11,0,10.2,"UHA-0266",10,10,1,1.77,0,"",10,2,0.71,0.71,"*"
"68",68,"UHA-0084",11,0.000959,7.36e-07,"UHA-0014",11,11,0,7.45,"UHA-0266",10,10,0,9.27,3.92,"*",10,0,12.7,12.7,"*"
"69",69,"UHA-0085",11,0.00051,6.05e-06,"UHA-0014",11,11,0,10.9,"UHA-0266",10,10,0,6.14,0,"",10,0,10.1,10.1,"*"
"70",70,"UHA-0086",11,0.000371,3.58e-06,"UHA-0014",11,11,0,10.9,"UHA-0266",10,10,0,6.71,0,"",10,0,10.7,10.7,"*"
"71",71,"UHA-0087",11,7.2e-05,1.47e-05,"UHA-0014",11,11,1,8.07,"UHA-0262",11,11,0,13.6,8.91,"*",11,1,12.3,6.01,"*"
"72",72,"UHA-0088",11,0.000505,4.39e-06,"UHA-0014",11,11,0,8.12,"UHA-0262",11,11,0,8.29,6.73,"*",11,2,2.11,2.11,"*"
"73",73,"UHA-0091",11,0.000719,2.63e-06,"UHA-0014",11,11,0,8.54,"UHA-0266",10,10,1,1.83,0,"",10,2,0.334,0.334,"*"
"74",74,"UHA-0113",11,0.00208,1.11e-06,"UHA-0257",11,11,0,7.29,"UHA-0260",11,11,0,4.1,4.1,"*",11,2,1.81,1.81,"*"
"78",78,"UHA-0118",11,8.62e-05,2.88e-08,"UHA-0351",11,11,1,4.54,"UHA-0261",11,11,0,11.7,11.7,"*",11,2,9.52,9.52,"*"
"79",79,"UHA-0119",11,0.00104,1.94e-05,"UHA-0351",11,11,1,5.85,"UHA-0257",11,11,0,12.1,10.4,"*",11,1,13.5,13.5,"*"
"80",80,"UHA-0120",11,9.49e-05,1.48e-08,"UHA-0351",11,11,0,8.79,"UHA-0257",11,11,1,7.71,7.71,"*",11,2,6.15,6.15,"*"
"81",81,"UHA-0121",11,0.000135,7.57e-06,"UHA-0351",11,11,0,14.3,"UHA-0257",11,11,2,-0.53,0,"",11,2,0.144,0.144,"*"
"82",82,"UHA-0122",11,0.000339,1.68e-05,"UHA-0351",11,11,0,14.5,"UHA-0257",11,11,1,3.44,3.44,"*",11,1,5.03,5.03,"*"
"83",83,"UHA-0123",11,0.000438,2.72e-07,"UHA-0010",10,10,1,1.35,"UHA-0259",10,10,1,2.24,0,"",10,3,1.12,1.12,"*"
"84",84,"UHA-0124",9,0.00746,0.00013,"UHA-0010",10,8,1,0.721,"UHA-0259",10,8,0,2.9,1.36,"+",8,2,2.24,2.24,"*"
"87",87,"UHA-0129",9,0.00219,1.1e-06,"UHA-0010",10,8,0,3.56,"UHA-0259",10,8,1,2.18,0,"",8,2,0.789,0.789,"*"
"91",91,"UHA-0133",10,0.00947,0.00367,"UHA-0010",10,10,1,7.1,"UHA-0224",11,10,1,0.0528,0,"",10,1,4.33,0.00339,"*"
"92",92,"UHA-0134",10,0.00184,1.53e-05,"UHA-0010",10,9,1,1.55,"UHA-0259",10,9,0,8.52,6.51,"*",9,1,10.8,10.8,"*"
"94",94,"UHA-0137",11,0.00037,9.64e-08,"UHA-0010",10,10,0,7.14,"UHA-0259",10,10,2,0.0282,0,"",10,2,2.77,2.77,"*"
"96",96,"UHA-0139",11,0.000465,9.66e-06,"UHA-0010",10,10,1,5.18,"UHA-0260",11,11,1,1.96,1.56,"+",11,3,0.262,0.262,"*"
"99",99,"UHA-0143",11,0.000461,9.56e-08,"UHA-0010",10,10,1,1.54,"UHA-0259",10,10,1,4.2,4.2,"*",10,2,8.48,8.48,"*"
"100",100,"UHA-0144",11,0.00034,1.08e-06,"UHA-0010",10,10,0,9.32,"UHA-0265",11,11,0,13.5,7.23,"*",11,2,4.79,4.79,"*"
"102",102,"UHA-0147",10,0.00377,1.09e-06,"UHA-0010",10,9,0,4.63,"UHA-0259",10,9,0,6.12,4.49,"*",9,1,6.98,6.98,"*"
"103",103,"UHA-0150",11,0.00212,8.65e-08,"UHA-0012",11,11,0,9.04,"UHA-0266",10,10,1,3.56,3.28,"*",10,1,6.28,6.28,"*"
"104",104,"UHA-0162",9,0.000485,6.62e-08,"UHA-0012",11,9,0,5.39,"UHA-0177",9,9,0,11.6,11.5,"*",9,1,12.7,12.7,"*"
"106",106,"UHA-0164",9,0.00191,3.75e-05,"UHA-0016",9,7,0,7.16,"UHA-0266",10,9,1,1.48,0,"",9,1,3.05,3.05,"*"
"107",107,"UHA-0165",11,0.00103,2.69e-06,"UHA-0016",9,9,0,4.95,"UHA-0266",10,10,0,5.83,0,"",10,1,2.8,2.8,"*"
"108",108,"UHA-0167",8,0.00351,1.11e-06,"UHA-0013",11,8,0,4.95,"UHA-0260",11,8,2,1.96,0,"",8,2,3.65,3.65,"*"
"110",110,"UHA-0151",11,0.000845,1.14e-05,"UHA-0012",11,11,0,12.2,"UHA-0351",11,11,1,2.04,2.04,"*",11,1,5.32,5.32,"*"
"111",111,"UHA-0152",11,0.000482,1.16e-07,"UHA-0012",11,11,0,8.11,"UHA-0260",11,11,2,1.19,0,"",11,3,0.638,0.638,"*"
"114",114,"UHA-0155",11,0.000956,2.51e-07,"UHA-0012",11,11,0,9.17,"UHA-0257",11,11,0,5.54,0,"",11,1,8.12,8.12,"*"
"116",116,"UHA-0157",10,0.000691,2.57e-06,"UHA-0012",11,10,0,9.6,"UHA-0258",10,9,1,0.685,0.685,"+",9,2,1.07,1.07,"*"
"118",119,"UHA-0159",11,0.00106,1.86e-06,"UHA-0012",11,11,1,2.14,"UHA-0260",11,11,1,4.5,4.5,"*",11,3,3.49,3.49,"*"
"119",120,"UHA-0160",11,0.000149,5.55e-05,"UHA-0012",11,11,2,3.36,"UHA-0257",11,11,1,-1.11,0,"",11,3,2.93,2.93,"*"
"120",121,"UHA-0161",11,0.000527,2.29e-07,"UHA-0012",11,11,0,9.8,"UHA-0260",11,11,2,0.577,0,"",11,2,4.43,4.43,"*"
"123",124,"UHA-0428",11,0.000229,4.84e-07,"UHA-0015",11,11,1,2.55,"UHA-0266",10,10,0,6.53,2.41,"*",10,2,6.77,6.77,"*"
"124",125,"UHA-0429",11,0.0015,4.86e-07,"UHA-0012",11,11,0,10.9,"UHA-0258",10,10,0,8.81,8.76,"*",10,0,14.1,14.1,"*"
"126",127,"UHA-0431",11,7.17e-05,6.03e-08,"UHA-0012",11,11,1,8.94,"UHA-0260",11,11,2,-1.77,0,"",11,3,1.95,1.95,"*"
"128",129,"UHA-0433",11,0.00206,9.43e-07,"UHA-0012",11,11,0,6.34,"UHA-0258",10,10,1,1.71,1.71,"*",10,2,2.3,2.3,"*"
"131",132,"UHA-0436",11,0.000245,1.64e-06,"UHA-0010",10,10,0,11.3,"UHA-0265",11,11,1,4.08,2.06,"*",11,2,0.306,0.306,"*"
"132",133,"UHA-0437",11,0.00062,1.83e-07,"UHA-0010",10,10,1,1.89,"UHA-0259",10,10,1,1.3,0,"",10,3,1.39,1.39,"*"
"133",134,"UHA-0438",11,0.000852,7.48e-07,"UHA-0010",10,10,1,2.09,"UHA-0259",10,10,1,0.418,0.418,"+",10,3,0.912,0.912,"*"
"136",137,"UHA-0441",11,0.000453,4.73e-07,"UHA-0260",11,11,1,4.44,"UHA-0261",11,11,0,11.2,10.1,"*",11,2,10,10,"*"
"138",139,"UHA-0443",11,0.000994,3.55e-05,"UHA-0260",11,11,2,1.81,"UHA-0257",11,11,0,5.6,4.3,"*",11,3,5.61,5.61,"*"
"140",141,"UHA-0445",11,0.00159,2.03e-06,"UHA-0260",11,11,1,1.48,"UHA-0258",10,10,1,2.08,2.08,"*",10,3,0.0019,0.0019,"*"
"142",143,"UHA-0447",11,0.000168,4.13e-06,"UHA-0260",11,11,1,3.98,"UHA-0257",11,11,0,8.46,8.46,"*",11,1,12.5,12.5,"*"
"144",145,"UHA-0449",11,0.000181,2.05e-06,"UHA-0260",11,11,1,5.14,"UHA-0257",11,11,1,1.86,1.86,"*",11,3,0.379,0.379,"*"
"145",146,"UHA-0450",11,0.00103,7.12e-08,"UHA-0260",11,11,0,7.04,"UHA-0257",11,11,2,-1.44,0,"",11,2,2.86,2.86,"*"
"149",150,"UHA-0454",11,0.00105,1.24e-07,"UHA-0257",11,11,0,5.47,"UHA-0260",11,11,1,5.86,5.86,"*",11,1,9.98,9.98,"*"
"153",154,"UHA-0458",11,8.27e-05,5.09e-07,"UHA-0257",11,11,1,5.37,"UHA-0258",10,10,0,8.7,8.7,"*",10,3,2.88,2.88,"*"
"154",155,"UHA-0459",11,0.000358,6.37e-06,"UHA-0257",11,11,0,12.9,"UHA-0258",10,10,0,9.54,9.54,"*",10,0,12.3,12.3,"*"
"155",156,"UHA-0460",11,0.000321,1.91e-06,"UHA-0257",11,11,1,1.36,"UHA-0260",11,11,0,9,9,"*",11,2,9.45,9.45,"*"
